=============================================================================================================
IsPublic IsSerial Name                                     BaseType                                                                                                                            
-------- -------- ----                                     --------                                                                                                                            
True     False    IEngineeringInstance                                                                                                                                                         
True     False    IEngineeringCompositionOrObject                                                                                                                                              
True     False    IEngineeringObject                                                                                                                                                           
True     False    IEngineeringRoot                                                                                                                                                             
True     False    TiaPortal                                System.Object                                                                                                                       
True     True     TiaPortalMode                            System.Enum                                                                                                                         
True     False    TiaPortalProcess                         System.Object                                                                                                                       
True     False    TiaPortalSession                         System.Object                                                                                                                       
True     False    TiaPortalProduct                         System.Object                                                                                                                       
True     False    AttachingEventArgs                       System.EventArgs                                                                                                                    
True     True     ConfirmationChoices                      System.Enum                                                                                                                         
True     True     ConfirmationIcon                         System.Enum                                                                                                                         
True     True     ConfirmationResult                       System.Enum                                                                                                                         
True     False    ExclusiveAccess                          System.Object                                                                                                                       
True     True     ExportOptions                            System.Enum                                                                                                                         
True     False    HistoryEntry                             System.Object                                                                                                                       
True     False    IEngineeringComposition                                                                                                                                                      
True     False    HistoryEntryComposition                  System.Object                                                                                                                       
True     False    IEngineeringAssociation                                                                                                                                                      
True     False    IEngineeringObjectAssociation            System.Object                                                                                                                       
True     False    IEngineeringService                                                                                                                                                          
True     False    IShowable                                                                                                                                                                    
True     False    ISystemObject                                                                                                                                                                
True     False    ITransactionSupport                                                                                                                                                          
True     True     ImportOptions                            System.Enum                                                                                                                         
True     False    Language                                 System.Object                                                                                                                       
True     False    LanguageAssociation                      System.Object                                                                                                                       
True     False    LanguageComposition                      System.Object                                                                                                                       
True     False    LanguageSettings                         System.Object                                                                                                                       
True     False    MultilingualText                         System.Object                                                                                                                       
True     False    MultilingualTextItem                     System.Object                                                                                                                       
True     False    MultilingualTextItemComposition          System.Object                                                                                                                       
True     True     NotificationIcon                         System.Enum                                                                                                                         
True     True     OpenMode                                 System.Enum                                                                                                                         
True     False    IMasterCopyTarget                                                                                                                                                            
True     False    IEngineeringServiceProvider                                                                                                                                                  
True     False    Project                                  System.Object                                                                                                                       
True     True     ProjectArchivationMode                   System.Enum                                                                                                                         
True     False    ProjectComposition                       System.Object                                                                                                                       
True     True     ProjectOpenMode                          System.Enum                                                                                                                         
True     False    ProjectTextResult                        System.Object                                                                                                                       
True     True     ProjectTextResultState                   System.Enum                                                                                                                         
True     True     TiaPortalAccessLevel                     System.Enum                                                                                                                         
True     True     TiaPortalTrustAuthority                  System.Enum                                                                                                                         
True     False    Transaction                              System.Object                                                                                                                       
True     False    UmacCredentials                          System.Object                                                                                                                       
True     True     UmacDelegate                             System.MulticastDelegate                                                                                                            
True     True     UmacUserType                             System.Enum                                                                                                                         
True     False    UsedProduct                              System.Object                                                                                                                       
True     False    UsedProductComposition                   System.Object                                                                                                                       
True     False    ProtectionProviderBase                   System.Object                                                                                                                       
True     True     CaxImportOptions                         System.Enum                                                                                                                         
True     False    CaxProvider                              System.Object                                                                                                                       
True     False    CompareResult                            System.Object                                                                                                                       
True     False    CompareResultElement                     System.Object                                                                                                                       
True     False    CompareResultElementComposition          System.Object                                                                                                                       
True     True     CompareResultState                       System.Enum                                                                                                                         
True     False    ICompilable                                                                                                                                                                  
True     False    CompilerResult                           System.Object                                                                                                                       
True     False    CompilerResultMessage                    System.Object                                                                                                                       
True     False    CompilerResultMessageComposition         System.Object                                                                                                                       
True     True     CompilerResultState                      System.Enum                                                                                                                         
True     False    IConfiguration                                                                                                                                                               
True     False    ConfigurationAddress                     System.Object                                                                                                                       
True     False    ConfigurationAddressComposition          System.Object                                                                                                                       
True     False    ConfigurationGateway                     System.Object                                                                                                                       
True     False    ConfigurationGatewayComposition          System.Object                                                                                                                       
True     False    ConfigurationMode                        System.Object                                                                                                                       
True     False    ConfigurationModeComposition             System.Object                                                                                                                       
True     False    ConfigurationPcInterface                 System.Object                                                                                                                       
True     False    ConfigurationPcInterfaceComposition      System.Object                                                                                                                       
True     False    ConfigurationSubnet                      System.Object                                                                                                                       
True     False    ConfigurationSubnetComposition           System.Object                                                                                                                       
True     False    ConfigurationTargetInterface             System.Object                                                                                                                       
True     False    ConfigurationTargetInterfaceComposition  System.Object                                                                                                                       
True     False    ConnectionConfiguration                  System.Object                                                                                                                       
True     True     DownloadConfigurationDelegate            System.MulticastDelegate                                                                                                            
True     True     DownloadOptions                          System.Enum                                                                                                                         
True     False    DownloadProvider                         System.Object                                                                                                                       
True     False    DownloadResult                           System.Object                                                                                                                       
True     False    DownloadResultMessage                    System.Object                                                                                                                       
True     False    DownloadResultMessageComposition         System.Object                                                                                                                       
True     True     DownloadResultState                      System.Enum                                                                                                                         
True     False    RHDownloadProvider                       System.Object                                                                                                                       
True     False    DownloadConfiguration                    System.Object                                                                                                                       
True     False    DownloadSelectionConfiguration           Siemens.Engineering.Download.Configurations.DownloadConfiguration                                                                   
True     False    ActiveTestCanBeAborted                   Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     ActiveTestCanBeAbortedSelections         System.Enum                                                                                                                         
True     False    AlarmTextLibrariesDownload               Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     AlarmTextLibrariesDownloadSelections     System.Enum                                                                                                                         
True     False    AllBlocksDownload                        Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     AllBlocksDownloadSelections              System.Enum                                                                                                                         
True     False    DownloadPasswordConfiguration            Siemens.Engineering.Download.Configurations.DownloadConfiguration                                                                   
True     False    BlockBindingPassword                     Siemens.Engineering.Download.Configurations.DownloadPasswordConfiguration                                                           
True     False    DownloadCheckConfiguration               Siemens.Engineering.Download.Configurations.DownloadConfiguration                                                                   
True     False    CheckBeforeDownload                      Siemens.Engineering.Download.Configurations.DownloadCheckConfiguration                                                              
True     False    ConsistentBlocksDownload                 Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     ConsistentBlocksDownloadSelections       System.Enum                                                                                                                         
True     False    DifferentTargetConfiguration             Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     DifferentTargetConfigurationSelections   System.Enum                                                                                                                         
True     False    DowngradeTargetDevice                    Siemens.Engineering.Download.Configurations.DownloadCheckConfiguration                                                              
True     False    ExpandDownload                           Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     ExpandDownloadSelections                 System.Enum                                                                                                                         
True     False    FitHmiComponents                         Siemens.Engineering.Download.Configurations.DownloadCheckConfiguration                                                              
True     False    InitializeMemory                         Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     InitializeMemorySelections               System.Enum                                                                                                                         
True     False    LoadIdentificationData                   Siemens.Engineering.Download.Configurations.DownloadSelectionConfiguration                                                          
True     True     LoadIdentificationDataSelections         System.Enum                                                                                                                         
True     False    ModuleReadAccessPassword                 Siemens.Engineering.Download.Configurations.DownloadPasswordConfiguration                                                           
True     False    ModuleWriteAccessPassword                Siemens.Engineering.Download.Configurations.DownloadPasswordConfiguration                                                           
True     False    OverwriteHmiData                         Siemens.Engineering.Download.Configurations.DownloadCheckConfiguration                                                              
